academic_mobility_radius,Satisfaction_threshold,Base_Salary,Sch_Quality_Variation,total_teachers,teacher_turnover_rate,mean_school_vacancy_rate,satisfaction_inequality,mean_satisfaction_poor_schools,mean_satisfaction_good_schools,unemployment_rate,mean_satisfaction-all
5,0.1,1000,0.5,880,0.46352941176470586,0.8873333333333335,0.17326886537601333,0,0.8387759815242526,0,0.6847840909090912
5,0.1,1000,0.5,866,0.4752941176470588,0.8866666666666667,0.16940222577770142,0,0.8296640316205567,0,0.703187066974595
5,0.1,1000,0.5,851,0.5058823529411764,0.8866666666666667,0.16819092041488606,0,0.8412100456621019,0,0.6982491186839024
5,0.1,1000,0.5,853,0.48,0.8866666666666667,0.15349411119629597,0,0.811958041958046,0,0.6724110980851912
5,0.1,1000,0.5,880,0.4811764705882353,0.886,0.14928514518542718,0,0.8150000000000035,0,0.6874469696969712
5,0.1,1000,0.5,843,0.47411764705882353,0.8886666666666667,0.17363197986547005,0,0.8473604060913741,0,0.6822340846184284
5,0.1,1000,0.5,823,0.46,0.894,0.17287197608580346,0,0.8478279569892505,0,0.7043013365735129
5,0.1,1000,0.5,850,0.4717647058823529,0.8886666666666666,0.15370959711655366,0,0.8327790432801844,0,0.6942509803921574
5,0.1,1000,0.5,865,0.49176470588235294,0.8873333333333331,0.18172452868161681,0,0.8577393075356449,0,0.7108554913294821
5,0.1,1000,0.5,864,0.5011764705882353,0.8866666666666667,0.178224520518787,0,0.8494197292069632,0,0.7191165123456812
5,0.1,1000,0.5,872,0.47058823529411764,0.8866666666666667,0.1563972395585101,0,0.8243729903536992,0,0.6365519877675847
5,0.1,1000,0.5,827,0.4717647058823529,0.8906666666666666,0.1701365813472444,0,0.8534593023255851,0,0.664735993550989
5,0.1,1000,0.5,831,0.4811764705882353,0.8933333333333335,0.15898210971280344,0,0.8326114649681557,0,0.6416726835138415
5,0.1,1000,0.5,857,0.5070588235294118,0.8880000000000001,0.18395933084375343,0,0.8576431718061691,0,0.6984402956048247
5,0.1,1000,0.5,818,0.45176470588235296,0.8960000000000002,0.17435594019623063,0,0.8479527559055138,0,0.6695273023634908
5,0.1,1000,0.5,902,0.46,0.8820000000000001,0.1758661755552024,0,0.8507930367504858,0,0.7172801182557303
5,0.1,1000,0.5,843,0.4623529411764706,0.8879999999999999,0.15831604763229848,0,0.8311891891891916,0,0.669327797548439
5,0.1,1000,0.5,872,0.45647058823529413,0.8879999999999999,0.1726311953921703,0,0.8412878787878835,0,0.7157989296636088
5,0.1,1000,0.5,833,0.4858823529411765,0.8906666666666664,0.16178006105117815,0,0.8409859154929615,0,0.7212364945978412
5,0.1,1000,0.5,901,0.47058823529411764,0.8800000000000002,0.1438131878241654,0,0.8207009345794415,0,0.6844987051424353
5,0.1,1000,0.7,873,0.4647058823529412,0.8873333333333336,0.16373159642344812,0,0.8327685950413255,0,0.6993012600229113
5,0.1,1000,0.7,886,0.47411764705882353,0.8820000000000001,0.1633813336965203,0,0.8324128686327107,0,0.6611023325808905
5,0.1,1000,0.7,886,0.4752941176470588,0.8846666666666668,0.16678403832886918,0,0.8295633187772942,0,0.6848344620015065
5,0.1,1000,0.7,853,0.4929411764705882,0.8873333333333335,0.18886275691529147,0,0.8620851063829826,0,0.7103282532239181
5,0.1,1000,0.7,890,0.4717647058823529,0.8813333333333334,0.1745277693735178,0,0.8469937369519862,0,0.7006516853932584
5,0.1,1000,0.7,863,0.47411764705882353,0.8873333333333335,0.18379730826039534,0,0.8497080291970824,0,0.6758246427192006
5,0.1,1000,0.7,850,0.4752941176470588,0.8866666666666667,0.17376413162817966,0,0.8534663865546236,0,0.7115529411764716
5,0.1,1000,0.7,860,0.4976470588235294,0.8879999999999999,0.17067142701969393,0,0.8421365638766566,0,0.6934069767441864
5,0.1,1000,0.7,867,0.4505882352941176,0.8866666666666667,0.1811278770439717,0,0.8555137844611561,0,0.6677431757016549
5,0.1,1000,0.7,853,0.4505882352941176,0.8873333333333333,0.15710798091051711,0,0.8425000000000006,0,0.6463266901133276
5,0.1,1000,0.7,872,0.5035294117647059,0.8866666666666667,0.18634786408528287,0,0.8583422459893073,0,0.6561620795107069
5,0.1,1000,0.7,813,0.5141176470588236,0.8933333333333333,0.17846825431021168,0,0.8586851211072672,0,0.6357031570315723
5,0.1,1000,0.7,859,0.4764705882352941,0.8879999999999999,0.18092834888157677,0,0.854865384615389,0,0.7180830422972467
5,0.1,1000,0.7,865,0.4717647058823529,0.886,0.156374092520251,0,0.8293195266272226,0,0.6516300578034694
5,0.1,1000,0.7,838,0.5105882352941177,0.8873333333333331,0.16628404353757983,0,0.8307724425887288,0,0.6977446300716018
5,0.1,1000,0.7,845,0.44588235294117645,0.8893333333333332,0.15105749196670112,0,0.8261794019933585,0,0.6432228796844198
