percent-grammar-1,logistic?,alpha,gamma,mean_state,nodes _09
55,true,0.04,0.04,0.7542621695576553,0.44
55,true,0.04,0.04,0.7741207812797265,0.44
55,true,0.04,0.04,0.7477629655120717,0.36
55,true,0.04,0.04,0.7743647521372006,0.48
55,true,0.04,0.04,0.7819995872173513,0.47
55,true,0.04,0.04,0.7720562748881774,0.41
55,true,0.04,0.04,0.7747666066063332,0.39
55,true,0.04,0.04,0.7478631536367569,0.4
55,true,0.04,0.04,0.7559767190413502,0.47
55,false,0.025,0.02,0.6555251652031343,0.3
55,true,0.04,0.04,0.770758476008616,0.44
55,false,0.025,0.02,0.6429040132942112,0.33
55,false,0.025,0.02,0.6500082839396852,0.3
55,false,0.025,0.02,0.6437642549915978,0.3
55,false,0.025,0.02,0.654638447600006,0.3
55,false,0.025,0.02,0.6595324687871181,0.34
55,false,0.025,0.02,0.6713607874620945,0.35
55,false,0.025,0.02,0.6419953101484498,0.36
55,false,0.025,0.02,0.6379271102184071,0.38
55,false,0.025,0.02,0.6437376105001527,0.31
55,false,0.025,0.02,0.6562230268085786,0.36
55,false,0.025,0.02,0.6564733732050899,0.36
55,false,0.025,0.02,0.6571957357377614,0.34
55,false,0.025,0.02,0.6593247264355564,0.35
55,false,0.025,0.02,0.650743321560331,0.38
55,false,0.025,0.02,0.6263276340888858,0.27
55,false,0.025,0.02,0.6279138858447396,0.36
55,false,0.025,0.02,0.6359155094935107,0.34
55,false,0.025,0.02,0.6337237795755937,0.35
55,false,0.025,0.02,0.6482981865900238,0.37
55,false,0.025,0.03,0.710969390272353,0.38
55,false,0.025,0.03,0.7266775566403486,0.37
55,false,0.025,0.03,0.6989327363487905,0.39
55,false,0.025,0.03,0.7216736016810492,0.43
55,false,0.025,0.03,0.7219945472669579,0.34
55,false,0.025,0.03,0.7226329590596589,0.36
55,false,0.025,0.03,0.7321328654591294,0.38
55,false,0.025,0.03,0.7129948411716371,0.37
55,false,0.025,0.03,0.7246279118237626,0.37
55,false,0.025,0.03,0.7255842196713574,0.38
55,false,0.025,0.03,0.7210770842876235,0.4
55,false,0.025,0.03,0.7144602675982432,0.39
