school-transportation-cost,traffic-lights?,high-income-percentage,with-school-choice?,alpha,D-segregation,delta-Achievement
10,true,20,false,0.5,0.1991919594560928,0.05032048077687534
10,true,20,false,0.5,0.18343794064993804,-0.04281380812178259
10,true,20,false,0.5,0.18498526313711333,-0.06533126923491395
10,true,20,false,0.5,0.176704769824808,0.01750738060175472
10,true,20,false,0.5,0.20738961798342156,-0.008384080270391614
10,true,20,false,0.5,0.1723040191006764,0.05378448366882527
10,true,20,false,0.5,0.16568257421794388,-0.04328317457829822
10,true,20,false,0.5,0.18644218093250634,-0.01687638329458796
10,true,20,false,0.5,0.16479526446059514,0.05700492557332293
10,true,20,false,0.5,0.18888265623679296,-0.023405600312530694
10,true,20,false,0.5,0.17571977571977582,0.05281523810774136
10,true,20,false,0.5,0.17178293369051062,-0.010663234080543482
10,true,25,true,0.1,0.419753086419753,0.6458505437206163
10,true,25,true,0.1,0.46593832588815853,0.8893396084827092
10,true,25,true,0.1,0.3499816615297502,0.5115090561865099
10,true,25,true,0.1,0.34265679097612745,0.3658399455708885
10,true,25,true,0.1,0.36793785310734456,0.464123943484954
10,true,25,true,0.1,0.4223003738496933,0.5685223160950885
10,true,25,true,0.1,0.41555267142548125,0.8138446849552974
10,true,25,true,0.1,0.38143947870921235,0.7197608606013501
10,true,25,true,0.1,0.3023214882344518,0.3423507531449461
10,true,25,true,0.1,0.36096430059227325,0.5115218064722216
10,true,25,true,0.1,0.36417112299465243,0.5504929953130269
10,true,25,true,0.1,0.4809279079636004,0.800583829677791
10,true,25,true,0.1,0.33234345167605184,0.4747755380569343
10,true,25,true,0.1,0.4373103097664696,0.97647168867194
10,true,25,true,0.1,0.33992857142857125,0.4761645386819975
10,true,25,true,0.1,0.36874059827385053,0.5658900521702765
10,true,25,true,0.1,0.44674688057040995,0.7399903007968875
10,true,25,true,0.1,0.3946556205328137,0.516559913746593
10,true,25,true,0.1,0.3859788992532356,0.5737577031154979
10,true,25,true,0.1,0.44831526141084493,0.7694143889533178
10,true,25,true,0.1,0.34146452204428496,0.46878605040089294
10,true,25,true,0.1,0.3468116331828709,0.47278884729399717
10,true,25,true,0.1,0.3201950344930627,0.5349260810952163
10,true,25,true,0.1,0.4000923685134211,0.5474014382818329
10,true,25,true,0.1,0.46103943711250867,0.8140091245609646
10,true,25,true,0.1,0.3455436720142603,0.3972900652011031
10,true,25,true,0.1,0.31155295301589525,0.48579463652634036
10,true,25,true,0.1,0.4872946263666042,0.8880865408244798
10,true,25,true,0.1,0.39342625267629716,0.5383949500516101
10,true,25,true,0.1,0.3589222273243587,0.5972624640110871
10,true,25,true,0.2,0.3854934674008128,0.48976981252403284
10,true,25,true,0.2,0.42473262032085546,0.6534967395061688
10,true,25,true,0.2,0.5396805871619821,0.8949361210042923
10,true,25,true,0.2,0.4907943059805523,0.5717214535542201
10,true,25,true,0.2,0.4313689552772884,0.7274626048778146
10,true,25,true,0.2,0.4521302223139928,0.5448813473758305
10,true,25,true,0.2,0.4811565951916829,0.6219612046513667
10,true,25,true,0.2,0.4927256292748082,0.7256796299189805
10,true,25,true,0.2,0.4824023744788702,0.5863408049190761
10,true,25,true,0.2,0.41243455845225757,0.49503584830209313
10,true,25,true,0.2,0.5773766634806262,0.823974591729475
10,true,25,true,0.2,0.4943053824769939,0.9557481753638903
10,true,25,true,0.2,0.5155749849503636,0.7727265782923443
10,true,25,true,0.2,0.4364756679487142,0.6329564303564874
10,true,25,true,0.2,0.4218805704099821,0.6237483000549853
10,true,25,true,0.2,0.4369873089664723,0.5607715710134338
10,true,25,true,0.2,0.34664212370150926,0.4564925760754255
10,true,25,true,0.2,0.5390112694860016,0.7599002060893723
10,true,25,true,0.2,0.37130758168701966,0.2894084589129431
10,true,25,true,0.2,0.3895748398369251,0.5967458629073255
10,true,25,true,0.2,0.5553125995433286,0.7226561595713195
