academic-mobility-radius,Satisfaction_threshold,Base_Salary,Sch_Quality_Variation,total-teachers,teacher-turnover-rate,mean-school-vacancy-rate,satisfaction-inequality,mean-satisfaction-poor-schools,mean-satisfaction-good-schools,unemployment-rate,mean-satisfaction-all
5,0.1,3000,0.1,855,0.48470588235294115,0.9459999999999998,0.19536947937451918,0.3094377510040158,0.7596613756613765,0.0035087719298245615,0.5472535211267605
5,0.1,3000,0.1,869,0.4823529411764706,0.9853333333333334,0.17405985904165197,0.317169117647059,0.7506462585034023,0.0034522439585730723,0.50771362586605
5,0.1,3000,0.1,870,0.4752941176470588,0.9459999999999998,0.17759195019569296,0.2890625000000001,0.7495659295659283,0.0022988505747126436,0.5902419354838695
5,0.1,3000,0.1,866,0.47294117647058825,0.9673333333333335,0.17438207466163708,0.3584726224783876,0.7245858585858604,0.0023094688221709007,0.5296489197530834
5,0.1,3000,0.1,865,0.48470588235294115,0.9420000000000001,0.1872566812483588,0.2828671328671328,0.7600476190476183,0.0023121387283236996,0.5995017381228268
5,0.1,3000,0.1,855,0.4788235294117647,0.9453333333333332,0.19652542385595106,0.2763274336283188,0.7912164296998427,0.004678362573099415,0.5265883274578919
5,0.1,3000,0.1,859,0.49411764705882355,0.9826666666666664,0.19200698854211876,0.312987804878049,0.7377447335811664,0.004656577415599534,0.5157426900584787
5,0.1,3000,0.3,871,0.45647058823529413,0.9699999999999999,0.27083774458139026,0.13342138364779882,0.8274871794871799,0.0057405281285878304,0.4888260200153966
5,0.1,3000,0.3,808,0.4894117647058824,0.9720000000000001,0.3069052415779868,0.14581724581724567,0.8494249201277981,0.0049504950495049506,0.524502487562189
5,0.1,3000,0.3,871,0.4764705882352941,0.9419999999999998,0.23423369225225663,0.142616033755274,0.8159821428571444,0.002296211251435132,0.5382585347142314
5,0.1,3000,0.3,862,0.4752941176470588,0.9820000000000003,0.2958179007754157,0.13844006568144474,0.8553968253968289,0.0034802784222737818,0.5907916181606526
5,0.1,3000,0.3,846,0.4858823529411765,0.9426666666666669,0.2679267464524001,0.14306010928961727,0.8422258064516148,0.0035460992907801418,0.5565361803084234
5,0.1,3000,0.3,809,0.5011764705882353,0.9826666666666667,0.3070796402119643,0.13028500619578687,0.8406137184115546,0.006180469715698393,0.5119859038142626
5,0.1,3000,0.3,856,0.4623529411764706,0.9613333333333335,0.28914974055594206,0.09867041198501876,0.8579228486646918,0.0035046728971962616,0.5684212583040278
5,0.1,3000,0.3,830,0.44588235294117645,0.9853333333333331,0.29096347499445674,0.16332159624413164,0.8439852398524008,0.006024096385542169,0.49955959595959687
5,0.1,3000,0.3,854,0.4647058823529412,0.958,0.27825258726752145,0.17873219373219376,0.8387009063444143,0.00468384074941452,0.551839215686277
5,0.1,3000,0.5,855,0.4835294117647059,0.8866666666666667,0.1405038388502792,0,0.8195733333333375,0,0.6763157894736861
5,0.1,3000,0.5,859,0.49176470588235294,0.8866666666666665,0.17562098361770734,0,0.8398584905660414,0,0.6814086146682209
5,0.1,3000,0.5,871,0.47411764705882353,0.8866666666666667,0.17882236980981467,0,0.8430905077262724,0,0.688564867967855
5,0.1,3000,0.5,858,0.4588235294117647,0.886666666666667,0.16200528634980083,0,0.8330016863406449,0,0.7350932400932403
5,0.1,3000,0.5,870,0.4976470588235294,0.8866666666666667,0.16047514737702473,0,0.8250759219088974,0,0.6931149425287376
5,0.1,3000,0.3,905,0.4647058823529412,0.964,0.2439271724980825,0.17707035755478673,0.8306818181818181,0.0055248618784530384,0.4644518518518525
5,0.1,3000,0.5,862,0.44823529411764707,0.8866666666666667,0.15415379833201956,0,0.8243142144638436,0,0.6709474091260645
5,0.1,3000,0.5,847,0.46941176470588236,0.8866666666666667,0.17920165717082456,0,0.8512735849056643,0,0.682691853600947
5,0.1,3000,0.5,869,0.46705882352941175,0.8853333333333334,0.1618903372699444,0,0.8350806451612943,0,0.7149060222477958
5,0.1,3000,0.5,873,0.4929411764705882,0.8866666666666667,0.1749260253889521,0,0.848864097363086,0,0.7021420389461653
5,0.1,3000,0.7,855,0.4776470588235294,0.8873333333333333,0.178567024172918,0,0.8401002506265683,0,0.6678011695906461
5,0.1,3000,0.5,878,0.49176470588235294,0.8866666666666667,0.164524804204495,0,0.8585347985347997,0,0.6293507972665173
5,0.1,3000,0.7,852,0.4682352941176471,0.8866666666666667,0.1713073859634831,0,0.8458542141230095,0,0.6962715179968691
5,0.1,3000,0.7,833,0.4823529411764706,0.8893333333333332,0.1829881635565974,0,0.8462721893491155,0,0.71529011604642
5,0.1,3000,0.7,815,0.46941176470588236,0.8940000000000001,0.1585573355624835,0,0.8371575342465774,0,0.6411451942740315
5,0.1,3000,0.7,873,0.4811764705882353,0.8873333333333333,0.14621922856670747,0,0.8082593856655313,0,0.6311034746086316
5,0.1,3000,0.7,868,0.49176470588235294,0.8866666666666668,0.17062070123606246,0,0.8336956521739153,0,0.6699116743471596
5,0.1,3000,0.7,882,0.46941176470588236,0.8866666666666667,0.16331298274219117,0,0.8372446555819514,0,0.6802985638699944
5,0.1,3000,0.7,847,0.44823529411764707,0.8866666666666667,0.14894286772473145,0,0.8329457364341105,0,0.7244667453758354
5,0.1,3000,0.7,843,0.5035294117647059,0.8873333333333333,0.1759087890755467,0,0.8471115973741805,0,0.6962672993277994
5,0.1,3000,0.7,861,0.48470588235294115,0.8866666666666668,0.1789768983269103,0,0.8494694960212217,0,0.6686101432442915
5,0.1,4000,0.1,843,0.4752941176470588,0.955333333333333,0.1755774061599411,0.319111111111111,0.7463692688971503,0.0035587188612099642,0.541464285714283
5,0.1,4000,0.1,886,0.46705882352941175,0.9826666666666667,0.21326149090773344,0.2778125,0.7800671140939607,0.004514672686230248,0.5380461073318219
5,0.1,4000,0.1,874,0.47411764705882353,0.9373333333333331,0.1845548844813226,0.28124137931034465,0.7607713498622591,0.002288329519450801,0.5851949541284386
5,0.1,4000,0.1,852,0.46588235294117647,0.9713333333333333,0.19794755297281982,0.2864974619289339,0.7805380116959071,0.0035211267605633804,0.5568511974872385
5,0.1,4000,0.1,872,0.4788235294117647,0.9419999999999998,0.18196458772133228,0.2920512820512818,0.7834831460674163,0.0022935779816513763,0.5612835249042134
5,0.1,4000,0.1,882,0.46352941176470586,0.9660000000000004,0.19032559889554346,0.2671782178217822,0.7419094922737316,0.0045351473922902496,0.5555770690964307
5,0.1,4000,0.1,879,0.46705882352941175,0.9833333333333337,0.14996422640746895,0.3438992042440327,0.7423850574712648,0.004550625711035267,0.4695923809523801
5,0.1,4000,0.1,859,0.4470588235294118,0.9666666666666669,0.20477218717869147,0.3235207100591724,0.7577642276422772,0.004656577415599534,0.5303118908382036
5,0.1,4000,0.1,875,0.4764705882352941,0.9593333333333331,0.1982685844337039,0.31320754716981136,0.7559710144927543,0.004571428571428572,0.5524569460390324
5,0.1,4000,0.1,870,0.46941176470588236,0.9513333333333335,0.17955628531750867,0.29729885057471245,0.7542056074766366,0.0034482758620689655,0.5654133025759291
5,0.1,4000,0.3,885,0.4588235294117647,0.9573333333333331,0.28023872449243087,0.1390519877675838,0.8696981132075498,0.004519774011299435,0.5324101399924348
5,0.1,4000,0.3,819,0.4976470588235294,0.980666666666667,0.2909081241274729,0.13888888888888862,0.8702909090909104,0.004884004884004884,0.5378323108384475
5,0.1,4000,0.3,860,0.46941176470588236,0.9633333333333334,0.29826602980340233,0.11069841269841242,0.8496011396011429,0.004651162790697674,0.5616900311526496
5,0.1,4000,0.3,858,0.4776470588235294,0.9740000000000002,0.2705850186428205,0.17870772946859956,0.8478448275862082,0.005827505827505828,0.49213755373192664
5,0.1,4000,0.3,844,0.5011764705882353,0.9573333333333335,0.29083544346130397,0.1478776041666665,0.8478082191780838,0.005924170616113744,0.5181088597536749
