neighborhood-range,tolerance,init-sd,enable-movement?,responsiveness,polarization,moran-i-ideology
4,0.1,0.2,true,0.25,0.17345324920258834,1.0391297333454723
4,0.05,0.2,true,0.25,0.21383309731932756,1.038031062163646
4,0.15,0.2,true,0.25,0.10563393551920304,1.046434767444421
4,0.1,0.2,true,0.25,0.17353899661108557,1.0487322767634546
4,0.05,0.2,true,0.25,0.21478674100375802,1.036008774849259
4,0.15,0.2,true,0.25,0.10562366337450216,1.0424326231870236
4,0.1,0.2,true,0.25,0.17387519129943427,1.0532536819557445
4,0.05,0.2,true,0.25,0.21529180196653347,1.0224617400615248
4,0.15,0.2,true,0.25,0.10575401967998534,1.0409580748299576
4,0.05,0.2,true,0.25,0.21593096855084704,1.0361165250004392
4,0.15,0.2,true,0.25,0.10575267075101391,1.0419045681762713
4,0.1,0.2,true,0.25,0.174286102560169,1.0523418276267846
4,0.15,0.2,true,0.25,0.10579841701127278,1.0454506149512284
4,0.05,0.2,true,0.25,0.21663345331761794,1.0336686354284008
4,0.1,0.2,true,0.25,0.1743626652615123,1.0533361948533955
4,0.15,0.2,true,0.25,0.10571898288809486,1.046739102896872
4,0.05,0.2,true,0.25,0.21689605540632245,1.0333094055246164
4,0.1,0.2,true,0.25,0.17477672963653382,1.0552709452496918
4,0.15,0.2,true,0.25,0.10562611586034346,1.0462647890236105
4,0.05,0.2,true,0.25,0.21765896542242097,1.0364251204599901
4,0.1,0.2,true,0.25,0.1749190257844419,1.0533571536801882
4,0.15,0.2,true,0.25,0.1056115870867011,1.0454626767727673
4,0.05,0.2,true,0.25,0.2183244040672169,1.0315571133616455
4,0.1,0.2,true,0.25,0.1752299877570147,1.0608113728937851
4,0.15,0.2,true,0.25,0.10557869030854443,1.0385697281295982
4,0.05,0.2,true,0.25,0.2188919184894915,1.039870493326993
4,0.1,0.2,true,0.25,0.1754146868061754,1.0537342621300652
4,0.15,0.2,true,0.25,0.1056053540523487,1.040304917150454
4,0.05,0.2,true,0.25,0.21937864192969592,1.0369088481975535
4,0.1,0.2,true,0.25,0.17567892281527736,1.049722634602302
4,0.15,0.2,true,0.25,0.10554082855390165,1.0389578661240497
4,0.05,0.2,true,0.25,0.22002747884787596,1.028709406894685
4,0.15,0.2,true,0.25,0.10550530296043051,1.0411749630307392
4,0.1,0.2,true,0.25,0.17587788823165132,1.0466585917729343
4,0.05,0.2,true,0.25,0.22068292339419615,1.028794484684697
4,0.15,0.2,true,0.25,0.10547583686587615,1.0425221039968477
4,0.1,0.2,true,0.25,0.17610181494484786,1.0438619091696073
4,0.05,0.2,true,0.25,0.22121087475603812,1.027532910785608
4,0.15,0.2,true,0.25,0.10543748561851976,1.0409594488338785
4,0.05,0.2,true,0.25,0.22159993274849435,1.0263833579105799
4,0.1,0.2,true,0.25,0.17653506526077972,1.0471104809746823
4,0.15,0.2,true,0.25,0.10538515803040993,1.0407714599585993
4,0.1,0.2,true,0.25,0.17686145559634336,1.0599094942344591
4,0.05,0.2,true,0.25,0.22206640442774228,1.0244043089977812
4,0.15,0.2,true,0.25,0.10531487058757572,1.0448528803952484
4,0.1,0.2,true,0.25,0.1771349594174629,1.0554450929966712
4,0.05,0.2,true,0.25,0.2225284685814517,1.0243828674246465
4,0.15,0.2,true,0.25,0.10531402002671708,1.0416991200377004
