Author/s,Title,Publication Year,Lens ID,DOI,Citing Works Count
D V Lubovsky,Специальная психология и педагогика в современной школе,2015,011-542-030-786-290,10.17759/pse.2015200309,0
T V Doronina; E V Arcishevskaya,The Relationship of the Social Needs of a Person and the Reasons Underlying the Decision to Become the Owner of a Pet,2020,011-612-146-369-465,10.17759/exppsy.2020130409,0
T M Ovsyannikova,Using the method of Functional Behavior Assessment to correct undesirable behavior of a child with autism spectrum disorder,2016,011-617-190-630-66X,10.17759/cpse.2016050108,1
O V Kuznetsova; I V Petrushova,Interrelation of Psychological Defense Mechanisms and Time Perspective during Middle Adulthood,2018,011-724-823-325-440,10.17759/psyedu.2018100103,1
A V Sorin,Analytical Work with a Teenager Close-Up (A Case Study),2016,011-927-313-376-993,10.17759/cpp.2016240109,0
N.V. Zvereva; I. Roschina,To our Readers,2017,011-962-006-131-201,10.17759/cpse.2017060201,0
A.A. Pankratova; Evgeny Osin; Vyacheslav V. Lebedev,Expressive Suppression of Negative and Positive Emotions in Russia and Azerbaijan,2019,012-008-535-194-860,10.17759/chp.2019150307,0
Yu.A. Bystrova; A.E. Bystrov,Psychological Predicates of Victim Behavior  of Young People with Intellectual Disabilities,2024,012-061-564-366-61X,10.17759/bppe.2023200406,0
T G Vasilenko,Personal characteristics of a law enforcement unit of special purpose,2017,012-180-595-089-151,10.17759/psylaw.2017060207,0
O Timur,Self-esteem and Self-control of Teenage Students of Boarding Schools,2016,012-373-647-401-700,10.17759/cpse.2016050206,1
V E Petrov; A V Kokurin; Nazarova A.Yu.,Psychology of road stress and aggressive behavior according to modern foreign studies,2020,012-461-445-598-170,10.17759/jmfp.2020090102,3
V.K. Zaretsky,One More Time on the Zone of Proximal Development,2021,012-575-754-353-201,10.17759/chp.2021170204,12
T A Egorenko,The role of social intelligence in the process of professional development of personality at the stage of higher education,2018,012-618-900-794-070,10.17759/jmfp.2018070310,2
Vladislav Petrov; Alexey Kokurin; Valentina Ekimova; Anna Koteneva; T N Berezina,The Assessment of Tolerance of Military Personnel to Extremist Ideology,2019,012-636-943-968-930,10.17759/psylaw.2019090205,1
O.D. Pugovkina; A.D. Syrokvashina; M.A. Istomin;A.B. Kholmogorova,Ruminative Thinking in Chronic Depression: Concept and Validity of Measures,2021,013-031-487-643-829,10.17759/cpp.2021290307,6
L. A. Khokhlova; Л А Хохлова; L. E. Deryagina; Л Е Дерягина,LATERALIZATION OF THE BIOELECTRIC BRAIN ACTIVITY AS A PREDICTOR OF MOTIVATIONAL AND COGNITIVE PROCESSES,2017,013-059-772-042-429,10.23888/pavlovj20172184-192,0
