Author/s,Title,Publication Year,Lens ID,DOI,Citing Works Count
A V Kokurin;В Е Петров,Особенности применения Пятифакторного личностного опросника в деятельности психологов органов внутренних дел,2016,064-286-759-750-72X,10.17759/psylaw.2016060304,3
N.N. Tolstykh,Social Psychology of Development: Integrating the Ideas of L.S. Vygotsky and A.V. Petrovsky,2020,064-295-796-214-672,10.17759/chp.2020160103,10
M.M. Marinova,The Influence of the VR Environment on the Level of Anxiety,2022,064-303-028-057-480,10.17759/exppsy.2022150204,4
A.N. Semiletova,Practice of systems thinking with preschool children,2023,064-541-466-999-412,10.47813/dnit-ii.2023.7.72-76,0
S.O Lepesheva;A.B. Kholmogorova,Fitness Blogging as a New Social Practice and Its Implications for Young Women’s Mental Health,2021,064-670-325-229-458,10.17759/chp.2021170214,4
M M Harlanova;Dvoryanchikov,Особенности формирования телесного аспекта гендерной идентичности у мужчин,2015,064-691-400-708-33X,10.17759/psylaw.2015050309,0
O E Khukhlaev,"All-Russian Scientific Conference Practical Ethnopsychology: Current Issues and Perspectives of Development (Moscow, MSUPE, November 20—21, 2015)",2015,064-754-655-025-261,10.17759/sps.2015060414,0
Anna B. Teplova; Vladimir A. Chernushevich; Nina N. Chuprakova,Implementation Issues of Folklore Game Practice as a Corrective and Preventive Resource (Results and Potential of Experimental Work),2020,064-815-542-990-651,10.17759/psylaw.2020100206,4
Е М Шпагина,Информационная безопасность в контексте защиты прав детей в Российской Федерации,2016,065-215-839-568-256,10.17759/psylaw.2016060409,3
Maxim V. Petrov; Marina A. Zhukova; Irina Ovchinnikova; Irina V. Golovanova; M.Y. Vasilyeva; R.Zh. Mukhamedrahimov; Oxana Yu. Naumova; Elena L. Grigorenko,Resting-State EEG Spectral Power in Children with Experience of Early Deprivation,2020,065-540-142-183-339,10.17759/exppsy.2020130408,0
N.V. Zvereva; Y Kutyreva; M V Kazakova,The Perception and Expression of Emotions in Normative Teenagers and Those who Suffers from Schizophrenia,2016,065-801-377-995-625,10.17759/cpse.2016050406,3
E O Smirnova; A N Veraksa; D A Bukhalenkova; I.A. Ryabkova,Relationship between Play Activity and Cognitive Development in Preschool Children,2018,065-886-579-056-963,10.17759/chp.2018140101,18
V.T. Kudryavtsev;V V Rubtsov,“Inner Spring” of Elena Kravtsova: A Word about a Scientist and a Friend,2020,066-084-608-636-628,10.17759/chp.2020160309,0
С А Терехина; Е С Чирикина,Особенности восприятия развода в родительской семье и отношение к родителям у девушек периода ранней взрослости,2016,066-272-521-438-344,10.17759/psylaw.2016060311,2
R Alexandrova;T A Meshkova,Особенности внутрисемейных отношений девочек-подростков с риском нарушений пищевого поведения,2016,067-060-692-072-73X,10.17759/cpse.2016050203,4
E.E. Antonova,Some Approaches to the Formation of Ideas about  Time in Preschool Children with Speech Impairments,2024,067-085-549-064-009,10.17759/bppe.2023200407,0
G. Ya. Menshikova; Anna O. Pichugina,Holistic Face Processing: the Eye Tracking Data,2020,067-124-211-082-970,10.17759/exppsy.2020130405,0
A.N. Molostova,II International Conference on Counseling Psychology and Psychotherapy in the Memory of Fyodor E. Vasilyuk “Counseling Psychology: The Challenges Facing the Practice”,2020,067-155-780-571-899,10.17759/cpp.2020280410,2
I A Burlakova,Training the Research Master Students to be Ready to Use the Cultural-Historical Psychology and Activity Approach for the Analysis of the Pre-school Educational Practice,2015,067-165-905-148-197,10.17759/pse.2015200310,2
К А Бамбуров; З В Луковцева,"К вопросу о методических проблемах психологического обследования лиц, ранее освидетельствованных в состоянии опьянения",2020,067-305-758-619-690,10.17759/psylaw.2020100305,0
И Н Власенкова; Н В Зверева,Избирательность мышления и особенности ассоциативной деятельности в разных модальностях у детей 8–11 лет в норме и при шизофрении,2017,067-331-944-902-448,10.17759/cpse.2017060203,1
N. Ilinykh; I.S. Ganishina; M.I. Maryin,"Psychological Features of Different Personality Types of Convicts Infected with Tuberculosis, depending on the Severity of Suicidal Risk",2022,067-555-878-919-542,10.17759/psylaw.2022120204,0
И Б Бовина; М Е Сачкова,Подчинение и неподчинение в понимании студенческой молодежи: поисковое исследование,2020,067-635-997-343-291,10.17759/psylaw.2020100406,1
N.G. Garanyan; Y.V. Zakharova; M.G. Sorokova,Ethical Attitudes of Russian Counseling Psychologists: Field of Disagreement and Potential Conflicts,2020,067-720-663-274-982,10.17759/cpp.2020280106,1
Marina Iosifyan; G. Arina; V. Nikolaeva,Ценности и страхи: связь между ценностными предпочтениями и страхом перед нарушениями здоровья,2019,067-762-079-748-873,10.17759/cpse.2019080107,6
L A Khrisanfova;V A Barabanschikov; A V Zhegallo,Individual psychological characteristics of children evaluated from photographs of their faces by adult observers,2016,067-769-720-254-476,10.17759/exppsy.2016090204,1
O R Busarova,Career Guidance with Adolescents and Youths with Deviant Behavior: Professional Training Experience,2019,068-340-367-894-580,10.17759/psylaw.2019090303,3
А.Н. Веракса; Е.С. Ощепкова; Д.А. Бухаленкова; Н.А. Картушина,Связь регуляторных функций и производства речи у старших дошкольников: рабочая память и составление нарративов,2019,068-440-136-669-026,10.17759/cpse.2019080304,3
E.A. Shepeleva; E A Valueva; E M Lapteva,Потребность в познании: сравнительный анализ различных исследовательских и психодиагностических подходов,2018,068-566-135-539-40X,10.17759/jmfp.2018070311,1
V M Pozdnyakov; T V Kalashnikova;T M Ovsyannikova; M M Kalashnikova,"Особенности проявления эмоциональной зрелости осужденными женского пола, отбывающими наказание в виде лишения свободы",2021,069-208-541-960-538,10.17759/psylaw.2021110307,4
V A Guruzhapov;S P Sanina,Introduction of Research Master Students in the Problems of the Organization of Learning Activities in the Secondary School (Based on the Natural Sciences),2015,069-423-507-884-588,10.17759/pse.2015200313,6
null Polikarpova,Eye-movements during the perception of dangerous driving among drivers of different age and social groups,2018,069-431-463-959-92X,10.17759/sps.2018090408,3
Г.У. Солдатова; Е.И. Рассказова,Итоги цифровой трансформации: от онлайн-реальности к смешанной реальности,2020,069-482-517-988-76X,10.17759/chp.2020160409,25
Inna Bovina;Dvoryanchikov; Svetlana Yu Gayamova; Lionel Dany; Marie-Anastasie Aim,HEALTH AND ILLNESS IN THE RUSSIAN CONTEXT: SOME SOCIO-PSYCHOLOGICAL COMMENTS,2017,069-676-966-432-746,10.22363/2313-1683-2017-14-1-7-16,1
B A Hoffman,"New Discoveries, Concepts and Questions in the Search to Understand Fathers' Influence on Child Development",2022,070-034-627-001-029,10.17759/jmfp.2022110102,1
S E Retsya; Z V Lukovtseva,Пилотажное исследование переживания гендерного насилия девушками с психическими расстройствами,2021,070-045-931-999-405,10.17759/psylaw.2021110311,0
L V Velikanov;N.N. Tolstykh,Modification of S. Rosenzweig test to study driver’s frustration reactions,2018,070-072-932-817-451,10.17759/sps.2018090412,2
V A Baranova; E M Dubovskaya; O O Savina,Life experience and resources for overcoming the difficulties of social isolation in the first period of the COVID-19 pandemic among students,2021,070-115-875-642-372,10.17759/sps.2021120102,5
Dvoryanchikov; Н Н Юшина; Т Е Макарова,Особенности гендерной идентичности при педофилии и их роль в реализации аномального сексуального влечения,2018,070-267-971-021-157,10.17759/psylaw.2018080313,1
null Egorova,New Master’s Programme in Educational Psychology: Training Future Professionals,2016,070-301-197-493-054,10.17759/psyedu.2016080303,0
A.N. Krichevets; M.V. Solodushkina,The «I—Other» Relations in One Special Situation of Communication,2015,070-498-694-365-899,10.17759/cpp.2015230513,0
И.И. Вартанова,Специфика взаимосвязи мотивации и ценностей старшеклассников различного пола и возраста,2018,070-675-359-001-531,10.17759/pse.2018230606,3
Д С Ошевский; Т А Кудимова,"Смысловая сфера несовершеннолетних, употребляющих психоактивные вещества",2018,070-781-220-601-830,10.17759/psylaw.2018080404,1
T.A. Poskakalova,The history of the development of theatre practices in education: foreign and Russian experience,2021,070-793-235-182-315,10.17759/jmfp.2021100210,7
E V Borisonik,Suicide as situation of extreme stress for immediate surrounding,2020,070-804-889-114-830,10.17759/jmfp.2020090106,1
Rimma M. Aysina; A A Nesterova,Cyber socialization of youth in the information and communication space of the modern world: effects and risks,2019,071-003-896-808-490,10.17759/sps.2019100404,26
S P Sanina,The problems of learning geography: overview of foreign studies,2019,071-152-674-893-641,10.17759/jmfp.2019080102,1
Tat’yana M. Krasnyanskaya; Valery G. Tylets; Alexander Lyakhov,Scenario design of security by students with different levels of tolerance to uncertainty,2020,071-319-824-448-44X,10.15862/58psmn420,2
V V Rubtsov; B D Elkonin,Новая модульная основная профессиональная образовательная программа исследовательской магистратуры «Культурно-историческая психология и деятельностный подход в образовании»: опыт разработки и апробации,2015,071-339-941-294-53X,10.17759/chp.2015110301,3
V A Barabanschikov; A.S. Shunto,Representation of the Value Orientations of a Stranger Depending on the Method of the Face Imaging,2022,071-424-061-281-50X,10.17759/exppsy.2022150304,1
A E Chechulina; Z V Lukovtseva,"The study of bodily socialization of adolescents, whose families are experiencing divorce",2015,071-685-552-043-210,10.17759/psylaw.2015050302,0
N V Bogdanovich; A V Budykin,Psychological characteristics of information security of adolescents with deviant behavior,2017,072-220-617-143-21X,10.17759/psylaw.2017070406,0
D I Zelikson,The interrelation between mindfulness and subjective well-being,2016,072-603-825-207-984,10.17759/jmfp.2016050310,1
S P Sanina; M V Enzhevskaya,Modern foreign investigations of difficulties in understanding of texts among primary school pupils,2016,072-764-971-352-562,10.17759/jmfp.2016050309,1
И Е Ржанова; В С Бритова; О С Алексеева; Ю А Бурдукова,Fluid Intelligence: Review of Foreign Studies,2018,072-806-034-162-820,10.17759/cpse.2018070402,4
Oleg A. Sychev;Tamara O. Gordeeva; Maria V. Lunkina; Evgeny Osin; Anastasia N. Sidneva,Multidimensional Students’ Life Satisfaction Scale,2018,073-022-676-994-697,10.17759/pse.2018230601,25
E P Belinskaya,"Paradoxes of the Age of Emotional Uncertainty. Review of the Book by E. Illuz “Why Does Love Hurt? Sociological Explanation”. Moscow; Berlin: DirectMedia Publishing, 2020. 400 p.",2020,073-455-277-203-281,10.17759/sps.2020110213,1
Ю.А. Халутина,Восьминедельная практика медитации осознанности в контексте развития саморегуляции,2022,073-681-127-928-469,10.17323/1813-8918-2022-4-847-854,1
С А Терехина; Д С Ошевский,Проблема использования психологических познаний при решении семейных споров о детях в гражданском судопроизводстве,2018,073-722-711-264-153,10.17759/psylaw.2018080212,2
E.E. Klopotova; T Y Kuznetsova,The use of «serious gaming» in educational work with children,2017,073-780-284-016-096,10.17759/jmfp.2017060404,4
И А Жаринов; А С Калашникова,The personal characteristics of witnesses as the basis of choice of tactics of interrogation,2016,074-033-513-936-599,10.17759/psylaw.2016060414,1
A.Yu. Nikolaeva; Yu.A. Burdukova; Olga S. Alekseeva; Irina E. Rzhanova; V.S. Britova,Gender Aspect of Fluid Intelligence Diagnostics,2020,074-198-184-321-408,10.17759/cpse.2020090405,1
P V Polyakov,Foreign studies of the phenomenon of egocentrismand socio-political attitudes of children and adolescents in modern society,2016,074-310-002-608-06X,10.17759/jmfp.2016050206,0
А Ю Вырва; Д.А. Леонтьев,The Potential of Subjective Semantic Methods in Exploring the Perception of Architecture,2015,074-401-007-402-769,10.17759/chp.2015110409,4
В В Нуркова; Д А Василенко,The power of imagination / The weakness of dating: on two origins of autobiographical memory distortion,2017,074-662-879-206-058,10.17759/psylaw.2017070115,3
E A Erokhina; E.V. Filippova,Body image and attitude to one's body in adolescent: family and sociocultural factors (based on foreign researches),2019,074-739-070-042-223,10.17759/jmfp.2019080406,9
null Radionova,Fairy tale group in the children's psycho-neurological sanatorium,2016,074-752-942-217-454,10.17759/cpse.2016050109,0
О О Андронникова;Ю М Забродин,"Посттравматическая и психопатологическая симптоматика личности с виктимной идентичностью, пережившей автомобильную аварию",2021,074-832-253-850-991,10.17759/cpse.2021100105,0
Natalia V. Andronova; Zhanna G. Garanina; Maria S. Ionova; Natalia V. Rezepova,The Peculiarities of Professionally Important Qualities of the Members of Locomotive Brigades of Railway Transport,2019,074-859-742-419-318,10.15507/2078-9823.047.019.201903.320-336,1
A.B. Kholmogorova,From the Editor,2022,074-959-268-634-202,10.17759/cpp.2022300301,0
Л.В. Терещенко; Л.А. Бойко; Д.К. Иванченко; Г.В. Заднепровская; А.В. Латанов,Характеристики музыкального исполнения и зрительно-моторного взаимодействия при чтении с листа у пианистов в зависимости от особенностей музыкального произведения,2017,075-152-999-677-491,10.17759/exppsy.2017100204,0
N.N. Tolstykh,Foreword by the Editor,2020,075-180-246-706-575,10.17759/sps.2020110101,0
Elena Gusarova; Maria Odintsova; Nina Kozyreva; Elena Kuzmina,Family Resilience Assessment Scale (FRAS-RII): A New Version,2024,075-193-988-935-206,10.17323/1813-8918-2024-1-8-31,1
V A Barabanschikov,Configurational relations of a face as a source of information about personality,2019,075-290-361-616-046,10.17759/exppsy.2019120303,2
N.N. Tolstykh,Foreword by the Editor,2022,075-300-753-327-098,10.17759/sps.2022130301,0
T V Ermolova; Aleksandr V. Litvinov; E A Balygina; A V Guzova,Formation of Adolescents’ Achievement Motivation in Modern Educational Space,2019,075-623-874-449-629,10.17759/jmfp.2019080201,4
M V Ermolaeva; D V Lubovsky,The Scientific School of L.I. Bozhovich: Current State and Future Perspectives,2019,075-968-113-612-632,10.17759/chp.2019150209,0
N.N. Tolstykh,Foreword by the Editor,2018,076-001-328-062-283,10.17759/sps.2018090101,0
О.Б. Чеснокова; С.М. Чурбанова; С.В. Молчанов,Professional Self-determination in Young Age as a Structural Component of Future Professionalism: Socio-Cognitive and Creative Factors,2019,076-326-020-483-343,10.17759/chp.2019150411,8
И.И. Вартанова,Мотивационно-эмоциональное отношение к учебе старшеклассников различного пола и возраста,2019,076-637-837-890-961,10.17759/pse.2019240507,1
Antonina Vladimirovna Selezneva; Victoria E. Zinenko,Political activity of Russian youth: current development trends,2020,076-728-391-347-641,10.18384/2224-0209-2020-2-1012,2
Ц А Шамликашвили; С В Харитонов; Д Н Пчелинцева; В П Графский,"Агрессивность учащихся средних и старших классов и предпочитаемые ими стили поведения в конфликтной ситуации, гендерный аспект",2018,076-730-755-741-360,10.17759/psylaw.2018080211,2
M. Odintsova; N.P. Radchikova; N.V. Kozyreva; E.I. Kuzmina,Comparative analysis of personal resources of belarusian and russian transitional and new generations in new cultural and historical conditions,2019,076-942-973-840-230,10.17759/sps.2019100205,7
Inna Bovina;Dvoryanchikov,Online and Offline Behavior: Does one Predict Another?,2020,077-218-981-196-544,10.17759/chp.2020160410,8
A A Margolis; Lev S. Kuravsky; V.K. Voitov; E.V. Gavrilova; S.S. Ermakov; G.A. Petrova; E.A. Shepeleva;V.S. Yurkevich,"Интеллект, креативность и успешность решения задач учащимися среднего школьного возраста в компьютерной игре «PLines»",2020,077-234-890-057-143,10.17759/exppsy.2020130109,10
Е Г Иванова; А.А. Скворцов; Ю.В. Микадзе,Функциональная детерминация письменной коммуникации пациентов с эфферентной моторной афазией,2021,077-726-175-228-020,10.17759/cpse.2021100306,0
B.G. Bovin;Inna Bovina; A.D. Tikhonova,Radicalisation:A Social Psychological Perspective (Part III),2021,077-948-716-756-461,10.17759/psylaw.2021110114,3
А.В. Петракова; Ю.В. Микадзе; В.В. Раабе,Методологические аспекты исследования восприятия знакомых и незнакомых лиц,2021,078-225-976-921-299,10.17759/exppsy.2021140201,1
N V Kochetkov,Internet addiction and addiction to computer games in the work of Russian psychologists,2020,078-316-096-512-52X,10.17759/sps.2020110103,22
E.A. Lupenko; O A Korolkova; E.G. Khoze,Perception of Individual Psychological Characteristics of a Person Based on Nonverbal Behavior,2023,078-456-554-331-182,10.17759/exppsy.2023160402,1
N.V. Romanovsky; E. Novikova,The Implementation of the Visual Self-Assessment Scale as a Method of Formation of Rehabilitation Motivation,2017,078-633-904-423-189,10.17759/cpse.2017060308,1
М Г Дебольский; Д В Мельникова; А С Месниченко,Выявление психических состояний несовершеннолетних обвиняемых и осужденных как предпосылка профилактики их деструктивного поведения,2020,078-791-142-506-255,10.17759/psylaw.2020100204,3
G.V. Semya,Comparative Analysis of Post-orphanage Adaptation of Orphaned Children Deprived of Parental Care: 20 Years Later,2021,078-824-928-083-838,10.17759/psylaw.2021110403,5
В.А. Якупова; Е.И. Захарова,Особенности внутренней позиции матери у участниц программы ЭКО,2016,078-872-655-645-36X,10.17759/chp.2016120105,3
V N Oslon; M. Odintsova; G.V. Semya; U V Kolesnikova; G.O. Zaitsev,Psychological Resources of Employees of Organizations for Orphans with Different Levels of Emotional Intelligence,2023,079-220-540-660-749,10.17759/pse.2022270612,4
А.А. Корнеев; Д.И. Ломакин,"Экспериментальное исследование рабочей памяти у детей и взрослых на материале воспроизведения последовательностей, заданных зрительным образцом",2017,079-590-337-111-89X,10.17759/exppsy.2017100105,1
E A Savchenko; Khokhlova A. Yu.,Features of Written Language in Virtual Communication of Deaf Teenagers,2019,079-660-956-316-537,10.17759/cpse.2019080207,0
Т Н Кабанова; Е А Плешакова; А А Дубинский; А С Васильченко,Особенности саморегуляции у специалистов экстремального профиля профессиональной деятельности,2017,079-749-247-666-359,10.17759/psylaw.2017070108,4
M V Zvereva; E F Shvedovskiy,All-Russian Conference with International Participation “Diagnostics in Medical Psychology: Traditions and Prospects (To the 105th Anniversary of S.Ya. Rubinstein)”,2016,080-118-265-858-594,10.17759/cpse.2016050411,1
N.E. Veraksa; Z.V. Airapetyan; O.V. Almazova; K.S. Tarasova,Development of Formal-logical and Dialectical Thinking in Children of 5-8 Years Old,2022,080-425-480-820-206,10.17759/chp.2022180401,3
O E Khukhlaev;Valentina Gritsenko; Olga S. Pavlova; Natalya V. Tkachenko; Shushanik A. Usubian; V A Shorokhova,Comprehensive Model of Intercultural Competence: Theoretical Substantiation,2020,081-073-550-323-951,10.22363/2313-1683-2020-17-1-13-28,15
Inna Bovina; B.G. Bovin; A.D. Tikhonova,Radicalisation: A Social Psychological Perspective (Part I),2020,081-145-135-612-22X,10.17759/psylaw.2020100309,5
С Б Ефремов,"Тип коммуникаций между водителем и автомобилем, основанный на дополненной реальности: новый тренд в построении интеллектуальных транспортных систем",2017,081-309-456-008-62X,10.17759/jmfp.2017060101,1
T V Ermolova; A V Litvinova; E A Balygina; N V Savitskaya,Neurobiology of cognitive competencies in primary school age: the latest foreign research,2020,081-382-970-359-909,10.17759/jmfp.2020090201,0
A A Shvedovskaya; F S Erkenova,Inclusion as Top-Priority Activity of the Moscow State University of Psychology and Education (Outcomes of the Moscow International Education Fair-2018),2018,081-735-714-855-963,10.17759/pse.2018230212,0
Anatolij Nikolaevich Arinin; Liubov' Andreevna Aleksandrova,The Correlation Between the Types of Family Education and Aggressiveness in Adolescence,2021,081-748-930-410-785,10.31483/r-98776,0
N B Shumakova,Specificity and Problems of Development of Gifted Children in Primary School Age,2018,081-839-559-702-938,10.17759/psyedu.2018100101,2
M.V. Novikova-Grund; O.A. Rusakovskaya; A A Shvedovskaya; S.B. Andrianova,Psychosemiotic Analysis of Parental Attitude Towards Children of Mothers Suffering from Schizophrenia,2021,082-047-146-765-421,10.17759/cpse.2021100406,2
T V Kochetova,The 2-nd Traffic and Transport Psychology Symposium,2019,082-172-609-411-682,10.17759/sps.2019100312,0
A V Litvinova,Psychological Separation from Parents as a Condition for the Development of Students' Goal-Setting,2020,082-178-653-730-442,10.17759/psyedu.2020120105,8
В К Зарецкий; В В Семенов,Предисловие к публикации лекции И.Б. Гриншпуна «Введение в историю психотерапии»,2015,082-181-726-860-457,10.17759/cpp.2015230211,0
S.V. Yershov;T V Kochetova;A V Pogodina; M.A. Kharchenko,"Opportunities and Perspectives of Modification of the Course ""Psychophysiological Basis of Driver's Activity"" in the System of Additional Education",2021,082-544-706-429-336,10.17759/psyedu.2021130205,0
A V Zhegallo,Слежение за движущимися объектами на видеозаписи в психологических исследованиях,2019,082-558-710-741-135,10.17759/exppsy.2019120401,0
V.K. Zaretsky,"On S.M. Morozov's “History Of Psychology” Textbook (Moscow, 2019)",2020,082-659-461-202-749,10.17759/cpp.2020280111,0
N.N. Tolstykh,Foreword by the Editor,2019,082-683-661-495-988,10.17759/sps.2019100401,1
E.I. Rasskazova; Y M Migunova,Positive and negative priming as a factor of bodily sensations in the healthy controls (on the sensations in head and neck),2018,082-828-840-284-910,10.17759/exppsy.2018110307,3
A V Zhegallo; I.A. Basul,Парный эксперимент для выявления индикаторов правды и лжи с высокой экологической валидностью,2019,083-136-140-918-707,10.17759/exppsy.2019120412,0
N Y Fedunina,Evolution of the concept of «mental strength» in foreign sport psychology,2017,083-275-759-149-091,10.17759/jmfp.2017060408,0
М V Apasova; I Y Kulagina; E V Apasova,Conditions for the adaptation of foreign students to universities,2020,083-349-490-878-679,10.17759/jmfp.2020090412,7
Rimma M. Aysina,Efficacy of Virtual Commmunication Training for Psychological Support to Unemployed: Randomized Controlled Trial,2016,083-403-923-982-370,10.17759/sps.2016070408,1
N.P. Busygina,"Co-experiencing Psychotherapy of F. Vasilyuk and Linguistic Turn in Social Sciences, Psychology and Psychotherapy",2019,083-414-324-029-602,10.17759/chp.2019150102,1
V.G. Anikina,Reflection and Virtual Reality: From the Etymological Analysis of Concepts to the Understanding of Essential Relationships,2021,083-515-169-130-622,10.17759/pse.2021000002,8
E V Krasnov,Personality traits and intelligence as predictors of decision making process in gambling strategies of IOWA gambling task (on the sample of military executives),2017,083-719-843-888-22X,10.17759/exppsy.2017100205,2
М В Доронина,К вопросу разработки обучающих программ в сфере безопасности дорожного движения как компонента системы общего и дополнительного образования,2017,083-834-601-003-621,10.17759/jmfp.2017060107,0
Н В Мешкова; М Г Дебольский; С Н Ениколопов; А А Масленков,"Особенности креативности в социальном взаимодействии у осужденных, совершивших корыстные и агрессивно-насильственные преступления",2018,083-924-862-320-528,10.17759/psylaw.2018080111,9
O S Pavlova,Psychological counseling for muslims: the analysis of foreign literature,2018,083-954-048-392-268,10.17759/jmfp.2018070406,10
L M Levin; N Bokova,A comparative analysis of the early memories of juvenile offenders who have committed crimes of varying severity,2017,084-240-302-648-591,10.17759/psylaw.2017070301,0
Е Г Хозе; О А Королькова; Н Ю Жижникова; М В Зубарева,Perception of facial emotional expressions by representatives of Asian and European cultural groups,2017,084-403-093-537-150,10.17759/exppsy.2017100408,1
Marina V. Kotova; Natalia G. Malysheva; Olga V Solovyova,The Path of Ethnopsychologist: to the 70th Anniversary of Tatiana G. Stefanenko,2019,084-480-927-896-408,10.22363/2313-1683-2019-16-3-466-473,0
Н.А. Хохлов; М.С. Ковязина; Н В Василевская; К А Васильева,Соотношение фиксационной и гностической асимметрий зрительной системы: что такое ведущий глаз?,2019,084-507-766-452-722,10.17759/exppsy.2019120111,0
A.A. Rakhmanina;A.B. Kholmogorova; L.B. Zavaliy; M. Kalantarova; S.S. Petrikov,Psychological Factors of Emotional Disadaptation in Patients with Facial Movement Disorders,2022,084-652-599-067-333,10.17759/cpse.2022110407,0
S B Efremov,The model of recognition of driving styles and classification of traffic interaction strategies,2017,084-945-049-988-831,10.17759/sps.2017080409,3
I.I. Besprozvannaya; A V Zhegallo,The structure of ideas about yourself and others (according to a photographic image and a schematic image),2019,084-965-356-034-219,10.17759/exppsy.2019120302,1
D.A. Khoroshilov,"Оцифрованный разум: медиатизация социального познания в культуре, науке и искусстве",2019,085-254-754-481-490,10.17759/sps.2019100402,1
V V Abramenkova,Holiness representation in modern children and their parents: towards a research methodology,2014,085-443-154-806-098,10.17759/psyedu.2014060126,0
I. E. Andriianov,"The Problem of the Relationship between Apperception, Self-Consciousness and Consciousness in Kant’s Critical Philosophy",2020,085-609-069-021-760,10.5922/0207-6918-2020-3-2,1
O.A. Ulyanina; L.A. Gayazova; A.V. Ermolaeva; K.A. Faizullina,The Current State of Emergency Psychological Assistance in the Education System,2022,085-667-704-884-764,10.17759/pse.2022270409,3
M E Lantsburg; T V Krysanova; E V Solovyeva,Investigation of psychosomatic aspects of gynecological and andrological diseases and infertility: a review of contemporary international researches,2016,085-745-900-617-242,10.17759/jmfp.2016050209,4
V.S. Yurkevich,Need-Based and Instrumental Approach to the Development and Training of Gifted Children,2021,085-919-931-664-831,10.17759/pse.2021260610,5
null Odintsova;V N Oslon; M P Ogol,Self-Activation as a Basis for Personal and Professional Competence Development of Specialists Working With Orphan Adolescents,2019,087-160-696-798-769,10.17759/psylaw.2019090401,2
V.V. Apanovich; E.A. Aramyan; D.L. Gladilin; K.S. Yudakov; S.A. Karpov; A.G. Gorkin; Y.I. Alexandrov,Development and Approbation of a Psychophysical Method for the Study of Skill Acquisition and Improvement,2022,087-205-133-260-750,10.17759/exppsy.2022150315,1
Ц А Шамликашвили; С В Харитонов; В П Графский,Влияние на психологический климат коллектива образовательных учреждений обучения сотрудников основам медиации,2017,087-254-596-291-175,10.17759/psylaw.2017070412,1
Viktor K. Zaretsky; Yury V. Zaretsky; Tatiana D. Karyagina; Oksana S. Ostroverkh; Anna V. Tikhomirova; Elena Yu. Fedorenko,THEORETICAL AND METHODOLOGICAL BASES OF A NEW SCHOOL MODEL IN RUSSIA: CULTURAL-HISTORICAL PSYCHOLOGY AND THE ACTIVITY APPROACH AS THE FOUNDATION OF EDUCATIONAL PRACTICE,2021,087-378-147-290-921,10.22363/2313-1683-2021-18-1-122-139,1
N V Bogdanovich; E.I. Shetkina; A.A. Borisova; N.A. Shevtsova; L.P. Moiseeva,Features of the Value-Semantic Sphere of Students in the Period of Study at the University,2019,087-511-893-554-001,10.17759/psylaw.2019090216,6
V G Bulygina; A S Berezkin; T N Kozlov; A P Makurina,"Psychological, clinical and social characteristics of patients implementing different types of aggression in the hospital (gender aspect)",2015,087-968-946-561-353,10.17759/psylaw.2015050304,0
Dvoryanchikov; Д Ю Шипицын,"Особенности полового самосознания и межличностного восприятия у лиц, осужденных без лишения свободы за половые преступления",2021,087-998-022-438-387,10.17759/psylaw.2021110102,0
G.U. Soldatova; A.E. Vishneva,Features of the Development of the Cognitive Sphere in Children with Different Online Activities: Is There a Golden Mean?,2019,088-001-700-312-273,10.17759/cpp.2019270307,24
E.G. Khoze; I.A. Basul; E.A. Lupenko; M.V. Yuryeva; M.M. Marinova,Specifics of Perception of Verbal Indications and Graphic Expressions of Basic Emotions by Children of Elementary and Middle School Age,2022,088-064-086-577-324,10.17759/exppsy.2022150308,0
O.A. Saveleva; G.Y. Menshikova; G.S. Bugriy,Accuracy of the Formation of Spatial Representations of Dynamic Scenes in Working Memory,2023,088-258-851-990-825,10.17759/exppsy.2023160404,0
А Ю Хохлова; М В Дианова,Group Communication Training for Young People with Combined Visual and Hearing Impairments,2018,088-411-022-046-608,10.17759/cpse.2018070107,0
Н В Мешкова; В А Шаповал; Е А Герасименко; М С Потарыкина; И А Мешков,Личностные особенности и антисоциальная креативность на примере кадетов и сотрудников МВД,2018,088-506-944-598-566,10.17759/psylaw.2018080306,8
V.A. Orlov,The Seventh Conference in Memory of M.Yu. Kondratiev: International Forum of Specialists in the Field of Solving Socio-Psychological Problems,2022,088-673-691-078-658,10.17759/sps.2022130215,0
O R Busarova,Developing of students diagnostic skills for working with adolescents with deviant behavior as a factor in the ethical principle of objectivity,2015,088-754-205-225-929,10.17759/psylaw.2015050305,1
N.P. Busygina; S.V. Yaroshevskaya,Cultural-Historical Psychology as a Theory of Subjectivity in the Works of F. González Rey,2020,089-010-132-032-513,10.17759/chp.2020160107,1
Ф С Сафуанов; К.Ю. Телешева; В. В. Мямлин; А.В. Киренская,"Патохарактерологические особенности психически здоровых лиц, склонных к импульсивной агрессии",2018,089-014-745-259-815,10.17759/psylaw.2018080311,5
S P Sanina,The Role of Modular Education in the Development of Professional Competencies of Applied Bachelor Students,2018,089-065-707-905-222,10.17759/psyedu.2018100306,6
N.V. Lavrechkin; T G Podushkina; A.A. Gazaryan,Experience of Psychological Support of the Project «Rescue Assistants»,2020,089-362-329-048-200,10.17759/psylaw.2020100210,0
