
"number","max-jobs","poor-price-priority","rich-quality-priority","death-rate","poor-per-step","rich-per-step","residents-per-job","number-of-tests","Time","median_job_distance_rich","median_job_distance_poor"
"4","10","-1","0.5","4","5","5","100","15","32","8.246211251235321","6.4031242374328485"
"5","10","-1","1","4","5","5","100","15","28","21.18962010041709","8.54400374531753"
"4","10","-1","0.5","4","5","5","100","15","33","7.545179782593586","6.324555320336759"
"5","10","-1","1","4","5","5","100","15","29","22.81433185263276","7.161988519181639"
"1","10","-1","-1","4","5","5","100","15","34","7.280109889280518","6.324555320336759"
"4","10","-1","0.5","4","5","5","100","15","34","7.280109889280518","6.4031242374328485"
"1","10","-1","-1","4","5","5","100","15","35","7.211102550927978","6.324555320336759"
"5","10","-1","1","4","5","5","100","15","30","24.758836806279895","7.810249675906654"
"4","10","-1","0.5","4","5","5","100","15","35","7.545179782593586","6.324555320336759"
"5","10","-1","1","4","5","5","100","15","31","22.81433185263276","7.161988519181639"
"4","10","-1","0.5","4","5","5","100","15","36","7.810249675906654","6.324555320336759"
"5","10","-1","1","4","5","5","100","15","32","21.587033144922902","6.4031242374328485"
"4","10","-1","0.5","4","5","5","100","15","37","8.772001872658766","5.9568572125717605"
"1","10","-1","-1","4","5","5","100","15","36","7.0710678118654755","6.324555320336759"
"5","10","-1","1","4","5","5","100","15","33","21.56384618673046","6.4031242374328485"
"4","10","-1","0.5","4","5","5","100","15","38","8.246211251235321","5.0990195135927845"
"5","10","-1","1","4","5","5","100","15","34","21.587033144922902","6.4031242374328485"
"4","10","-1","0.5","4","5","5","100","15","39","8.395107498276426","5.242092160363644"
"5","10","-1","1","4","5","5","100","15","35","23.065204211503662","6.324555320336759"
"4","10","-1","0.5","4","5","5","100","15","40","7.810249675906654","5.0990195135927845"
"4","10","-1","0.5","4","5","5","100","15","41","7.245606220104248","5.0990195135927845"
"5","10","-1","1","4","5","5","100","15","36","24.758836806279895","6.4031242374328485"
"1","10","-1","-1","4","5","5","100","15","37","6.697811566101118","6.516379626418065"
"4","10","-1","0.5","4","5","5","100","15","42","7.211102550927978","5.0990195135927845"
"5","10","-1","1","4","5","5","100","15","37","24.26428272714466","6.854101966249685"
"4","10","-1","0.5","4","5","5","100","15","43","7.141085181396727","5.0990195135927845"
"5","10","-1","1","4","5","5","100","15","38","24.839484696748443","7.0710678118654755"
"1","10","-1","-1","4","5","5","100","15","38","6.324555320336759","6.324555320336759"
"5","10","-1","1","4","5","5","100","15","39","25.34735152548182","7.0710678118654755"
