pinch-chance,pinch-time,super-level,step,avg-super-score,avg-normal-score,gap-super-normal,avg-super-score_effect_diff,avg-normal-score_effect_diff
0.1,0,low,16,143.0181313131313,259.70520499665224,-116.68707368352105,11.468131313131314,38.19169148313887
0.1,0,high,14,275.1433333333333,222.40754744725336,52.73578588607987,42.49333333333333,35.74088078058667
0.1,0,high,15,307.0098039215686,229.71952041952042,77.2902835020482,55.85980392156862,34.692493392493404
0.1,0,high,18,328.905,249.98360935477805,78.92139064522192,51.654999999999994,34.71333908450781
0.1,0,high,16,333.135,235.14520121091334,97.98979878908668,64.035,34.47853454424661
0.1,0,low,17,104.83333333333334,271.7667875226698,-166.93345418933652,9.033333333333335,37.92444518032753
0.1,0,high,16,316.4323684210526,234.01419453064187,82.41817389041077,54.83236842105263,33.08626660271397
0.1,0,low,17,109.26903235653235,273.1836558101263,-163.914623453594,19.46903235653236,39.65662878309937
0.1,0,low,16,93.18498987854251,253.52083952579304,-160.3358496472506,15.634989878542513,39.01183051678407
0.1,0,low,17,146.4714285714286,270.64154732831196,-124.17011875688337,9.921428571428573,39.57848426524897
0.1,0,high,15,285.2828571428571,230.1909565409565,55.091900601900505,41.632857142857134,34.335100685100684
0.1,0,high,16,318.98333333333335,237.67306283753658,81.31027049579683,57.833333333333336,33.3667565312302
0.1,0,high,19,340.64190789473685,258.64056865960896,82.00133923512783,53.391907894736846,33.460388479428744
0.1,0,high,17,342.78499999999997,242.8798001683064,99.90519983169366,63.68499999999999,33.47439476290095
0.1,0,low,18,120.26666666666668,280.1680108531114,-159.90134418644473,7.466666666666666,37.04638923148986
0.1,0,high,17,326.65,240.97830504784844,85.67169495215165,55.05,32.03235910190244
0.1,0,low,18,111.32367521367523,281.5899228888393,-170.26624767516398,19.52367521367521,39.77460757352397
0.1,0,low,18,154.6302380952381,278.9242404507885,-124.29400235555045,12.080238095238096,38.852168378716364
0.1,0,low,17,122.56972222222221,262.5940182497458,-140.0242960275237,14.019722222222223,38.265189420916975
0.1,0,high,16,293.8705555555556,238.41654491360367,55.45401064195195,41.22055555555555,33.731860228919054
0.1,0,high,17,329.8158653846154,247.24723571039362,82.56862967422185,58.665865384615394,33.21119967435756
0.1,0,high,20,351.52500000000003,267.55457329799435,83.97042670200568,54.27499999999999,34.356375099796146
0.1,0,high,18,356.62678571428575,250.63541704803316,105.99136866625253,67.52678571428572,33.48226389487999
0.1,0,low,0,0,0,0,0,0
0.1,0,low,19,126.63333333333335,290.24699108391053,-163.61365775057712,9.833333333333334,37.84609018300969
0.1,0,high,18,333.45874999999995,252.56252563311386,80.89622436688617,51.85875,32.80576887635712
0.1,0,low,19,114.26034188034188,290.63714420854507,-176.37680232820313,17.46034188034188,39.902909974310916
0.1,0,low,18,125.80511904761904,272.9292685488505,-147.12414950123173,14.255119047619047,38.33016944975149
0.1,0,low,19,160.63833333333332,286.51232653264384,-125.8739931993104,10.088333333333335,38.06187608219342
0.1,0,high,17,303.97235294117644,250.47212814914045,53.50022479203591,40.32235294117647,34.43609211310451
0.1,0,high,18,336.58,254.97074747601067,81.60925252398926,55.42999999999999,33.006783512046674
0.1,0,low,1,76.35739845938376,126.02968991088193,-49.6722914514981,51.757398459383765,49.51617639736833
0.1,0,high,19,361.90000000000003,260.990238965239,100.90976103476112,62.79999999999999,34.10735608235608
0.1,0,high,19,346.0091666666667,262.7816607092923,83.22750595737449,54.40916666666667,33.11499404262562
0.1,0,low,20,131.9247619047619,301.4983895085676,-169.57362760380562,11.124761904761906,37.92631743649546
0.1,5,high,0,0,0,0,0,0
0.1,0,low,20,118.7925641025641,298.92170958223596,-180.12914547967188,18.992564102564103,39.899187059713384
0.1,5,high,0,0,0,0,0,0
0.1,0,low,20,167.78690476190476,296.0202458952459,-128.23334113334104,12.236904761904762,38.38060625560623
0.1,0,low,19,131.11326923076922,282.38827628192945,-151.27500705116023,16.563269230769233,38.690078083731336
0.1,5,high,0,0,0,0,0,0
0.1,0,high,18,317.0517563138616,258.38709818330557,58.664658130556006,43.40175631386158,33.61232340853085
0.1,0,high,19,348.185,263.98516741891353,84.19983258108641,57.035000000000004,33.55273498648112
0.1,0,high,20,353.425,271.0797163577349,82.3452836422652,51.825,33.39503167305025
0.1,5,high,0,0,0,0,0,0
0.1,0,low,2,60.463529411764696,128.7937043459102,-68.33017493414555,29.86352941176471,43.45136200356789
0.1,0,high,20,374.7672222222222,269.84282635942856,104.92439586279363,65.66722222222224,34.491475008077174
0.1,5,high,0,0,0,0,0,0
0.1,5,high,1,161.10111704085392,116.81649010371919,44.284626937134746,47.101117040853886,50.85703064425974
0.1,5,high,1,169.87806184012067,129.85653674991906,40.02152509020161,48.82806184012067,50.0322124255948
0.1,5,high,1,160.30646321686567,124.48672711056615,35.819736106299544,52.6064632168657,49.37861900245802
0.1,0,low,20,129.96027777777778,291.4863797260856,-161.52610194830783,12.410277777777779,37.51791125761713
0.1,5,low,0,0,0,0,0,0
0.1,0,high,19,325.3059803921568,269.3921493072421,55.913831084914705,41.65598039215686,35.15791507300796
0.1,0,high,20,359.96975708502026,271.533488670176,88.43626841484428,58.81975708502024,33.4433985800859
0.1,5,low,0,0,0,0,0,0
0.1,0,low,3,57.68333333333334,133.88098082703345,-76.19764749370012,16.083333333333336,39.169269115321754
0.1,5,high,1,144.4859649122807,114.66470994052261,29.821254971758094,48.035964912280704,48.96200723781994
0.1,5,high,1,148.2692268842269,121.28596373782135,26.98326314640552,53.16922688422689,49.35353130538891
0.1,5,high,2,169.73999999999998,105.11767402994181,64.62232597005814,55.73999999999999,39.15821457048237
0.1,5,high,2,181.1585714285714,121.4144007851438,59.744170643427566,60.10857142857143,41.590076460819496
0.1,5,low,1,68.65912719633309,133.56970826668973,-64.91058107035659,48.55912719633308,49.44808664506805
0.1,5,high,2,161.16429824561405,116.63750437868083,44.52679386693326,53.46429824561403,41.529396270572754
0.1,0,high,20,332.70064892623714,278.0237296185826,54.67691930765449,39.050648926237145,34.87057646542941
0.1,5,low,0,0,0,0,0,0
